,,,,,,00126        Tarragona (Marques),,,,,,,,,,,,20/11/2025,,,
infcontrolalmacen,,,,,,,,,,,,,,,,,,,,,
,,,,,,Informe Control de Almacén,,,,,,,,,,,Pág. 1  de 8,,,,
Ordenado por Artículo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Criterios:   , Fechas Cuadre:  Mes Panel de Control.",,,,,,,,,,,,,,,,Moneda de Uso: EUROS,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cuadre Inicial,,,Inventario total,,,,01/11/2025  12:18:43 ,,,,Cuadre Final,,,Cuadre completo,,,,19/11/2025  01:09:57 ,,,
Empleado,,"AGUILO MORESO, JUDITH",,,,,,,,,Empleado,,"GALLEGO CHICA, MARIA DEL CARMEN",,,,,,,,
Fecha de grabación,,,01/11/2025  12:18:50 ,,,,,,,,Fecha de grabación,,,19/11/2025  01:10:36 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Artículo,,,,,,,,Inicial,Entradas,Salida,,Consumo,,Teórica,Desperdicio,Sobra - Falta,,Robo,%,Consumo,Real
,,,,,,,,,,,,,,,,,,,,,
AQN50,,* PET AQUARADE NARANJA ZERO 500M,,,,,Unidad,,"0,000","24,000",,"7,000","17,000",,"2,000",,"28,57","19,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ARCEB,,* AROS DE CEBOLLA,,,,,Kilogramo,,"5,865",,,"2,208","3,657",,"-0,154",,"-6,97","3,503",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AT,,* ATUN,,,,,Kilogramo,,"9,872","22,320",,"14,866","17,326",,"1,236",,"8,31","18,562",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ATN,,* ALITAS DE POLLO NORMAL,,,,,Kilogramo,,"7,475","36,000",,"21,011","22,464",,"-1,785",,"-8,50","20,679",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AZNE,,* AZUCAR 8 GR NESPRESSO,,,,,Unidad,,"13,000",,,"48,000","-35,000",,"35,000",,"72,92","0,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BA,,* BACON FRANQUI,,,,,Kilogramo,,"14,746","132,000",,"123,689","23,057",,"0,000",,,"23,057",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BBQH,,* ME SALSA BBQ HONEY 32X45GR,,,,,Unidad,,"51,000","32,000",,"25,000","58,000",,"-19,000",,"-76,00","39,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BCC,,* BARRIL CRUZCAMPO,,,,,Litro,,"0,000","30,000",,,"30,000",,"0,000",,,"30,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BCHE,,* BORDE QUESO CLASICO 6KG,,,,,Kilogramo,,"6,140",,,"2,040","4,100",,"0,000",,,"4,100",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BCHI,,* YY BORDE QUESO PICANTON 6KG,,,,,Kilogramo,,"1,458",,,,"1,458",,"0,000",,,"1,458",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BCK,,* BARRIL HEINEKEN,,,,,Litro,,"55,590","60,000",,"33,900","81,690",,"0,000",,,"81,690",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BCRY5,,* BACON CRISPY,,,,,Kilogramo,,"5,964","38,400","1,600","13,493","29,271",,"0,000",,,"29,271",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BDOS05,," BOTELLA DOSIFICADOR 0,5L",,,,,Unidad,,"2,000",,,,"2,000",,"0,000",,,"2,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BDOS1,, BOTELLA DOSIFICADOR 1L,,,,,Unidad,,"16,000",,,,"16,000",,"0,000",,,"16,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BEBR,,* BERENJENA BRASEADA,,,,,Kilogramo,,"6,549",,,"0,934","5,615",,"0,044",,"4,71","5,659",,,
,,,,,,,,,,,,,,,,,,,,,
BF,,* BOLA FAMILIAR,,,,,Bola,,"120,000","742,000",,"475,000","387,000",,"-69,000",,"-14,53","318,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BFM28,,* BASE FINA MEDIANA 280 MM,,,,,Unidad,,"51,000","80,000",,"111,000","20,000",,"-16,000",,"-14,41","4,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BITA,,* BORDE QUESO MEDITERRANEO 6KG,,,,,Kilogramo,,"3,988",,,"2,040","1,948",,"0,000",,,"1,948",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BKME,,* ZZ BOLA CACAO MEDIANA,,,,,Bola,,"21,000",,,"2,000","19,000",,"0,000",,,"19,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BLOO,,* ME SALSA BLOODY ONION,,,,,Unidad,,"52,000",,,"5,000","47,000",,"-37,000",,"-100,00","10,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BLSCMP,,* BOLSA COMPLEMENTOS,,,,,Unidad,,"722,000","250,000",,"105,000","867,000",,"0,000",,,"867,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BM,,* BOLA MEDIANA,,,,,Bola,,"416,000","2.430,000",,"1.929,000","917,000",,"-114,000",,"-5,91","803,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BP,,* BOLA PEQUE?A,,,,,Bola,,"72,500","2.800,000",,"2.158,250","714,250",,"217,000",,"10,05","931,250",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BPAD,, BOLSA PAPEL DOMICILIO,,,,,Unidad,,"700,000","500,000",,,"1.200,000",,"-513,000",,,"687,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BPAT,,* ME BOLSA PATATAS MENEO,,,,,Unidad,,"415,000",,,"77,000","338,000",,"0,000",,,"338,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BPDM,,* ME BOLSA PAPEL DOMICILIO MENEO,,,,,Unidad,,"792,000",,,"220,000","572,000",,"49,000",,"22,27","621,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BQCH6,,* YY BORDE QUESO CHORIZO 6KG,,,,,Kilogramo,,"5,898",,,"0,102","5,796",,"0,000",,,"5,796",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BSA,,* BOLA SUPER AHORRO,,,,,Bola,,"22,000",,,"10,000","12,000",,"0,000",,,"12,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
C250,,* MP - CEBOLLA CORTADA 250 GR,,,,,Kilogramo,,"0,000",,,,"0,000",,"0,000",,,"0,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CA,,* CARNE,,,,,Kilogramo,,"13,044","84,000",,"85,089","11,955",,"0,799",,"0,94","12,754",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CACHA,,* CAJA COMBO HAMBURGUESA,,,,,Unidad,,"128,000",,,"36,000","92,000",,"12,000",,"33,33","104,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CACOO,,* CAJA COOKIE 2025,,,,,Unidad,,"529,000",,,"39,000","490,000",,"-136,000",,"-100,00","354,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CAFF2,,* CAFE INTENSO,,,,,Unidad,,"340,000",,,,"340,000",,"0,000",,,"340,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CAJU,,* ME SAZONADOR CAJUN APIO,,,,,Kilogramo,,"0,776","0,500",,"0,108","1,168",,"0,250",,"100,00","1,418",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CAKE,,* CAJA COMBO 2025,,,,,Unidad,,"115,000","100,000",,"86,000","129,000",,"-59,000",,"-68,60","70,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CASA,,* CAJA SANDWICH 2022,,,,,Unidad,,"165,000","50,000",,"131,000","84,000",,"147,000",,"100,00","231,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CC1S,,* CAJA COMPLEMENTOS 1 SALSA,,,,,Unidad,,"257,000","100,000",,"407,000","-50,000",,"50,000",,"12,29","0,000",,,
,,,,,,,,,,,,,,,,,,,,,
